01-54-2024 11:54:34 root:INFO:epoch:0, train_loss:0.00022509213886223733, test_loss:6.9691457611043e-05
01-55-2024 11:55:06 root:INFO:epoch:1, train_loss:4.8925492592388764e-05, test_loss:5.4504547733813524e-05
01-55-2024 11:55:45 root:INFO:epoch:2, train_loss:3.901266973116435e-05, test_loss:4.319190702517517e-05
01-56-2024 11:56:19 root:INFO:epoch:3, train_loss:3.368293619132601e-05, test_loss:4.381148755783215e-05
01-56-2024 11:56:51 root:INFO:epoch:4, train_loss:3.0641949706478044e-05, test_loss:3.4786571632139385e-05
01-57-2024 11:57:21 root:INFO:epoch:5, train_loss:2.8709839170915075e-05, test_loss:3.902852404280566e-05
01-57-2024 11:57:50 root:INFO:epoch:6, train_loss:2.6975911168847233e-05, test_loss:3.177875260007568e-05
01-58-2024 11:58:20 root:INFO:epoch:7, train_loss:2.5719276891322806e-05, test_loss:3.620332063292153e-05
01-58-2024 11:58:48 root:INFO:epoch:8, train_loss:2.4718092390685342e-05, test_loss:3.270274828537367e-05
01-59-2024 11:59:13 root:INFO:epoch:9, train_loss:2.355865217396058e-05, test_loss:3.272906906204298e-05
01-59-2024 11:59:40 root:INFO:epoch:10, train_loss:2.314794619451277e-05, test_loss:2.7363597837393172e-05
01-00-2024 12:00:05 root:INFO:epoch:11, train_loss:2.2077574612922035e-05, test_loss:3.307040606159717e-05
01-00-2024 12:00:32 root:INFO:epoch:12, train_loss:2.1584046407951973e-05, test_loss:2.5576280677341856e-05
01-01-2024 12:01:00 root:INFO:epoch:13, train_loss:2.105859857692849e-05, test_loss:2.9599887056974694e-05
01-01-2024 12:01:32 root:INFO:epoch:14, train_loss:2.0587805920513347e-05, test_loss:2.659970778040588e-05
01-02-2024 12:02:00 root:INFO:epoch:15, train_loss:2.0019520889036357e-05, test_loss:2.9330289180506952e-05
01-02-2024 12:02:28 root:INFO:epoch:16, train_loss:1.985719609365333e-05, test_loss:2.2986014300840907e-05
01-03-2024 12:03:01 root:INFO:epoch:17, train_loss:1.942734161275439e-05, test_loss:2.314332959940657e-05
01-03-2024 12:03:33 root:INFO:epoch:18, train_loss:1.895922832773067e-05, test_loss:2.8703503630822524e-05
01-04-2024 12:04:05 root:INFO:epoch:19, train_loss:1.8802144040819257e-05, test_loss:2.6581510610412806e-05
01-04-2024 12:04:35 root:INFO:epoch:20, train_loss:1.830269866331946e-05, test_loss:2.5505019948468544e-05
01-05-2024 12:05:01 root:INFO:epoch:21, train_loss:1.8017744878306985e-05, test_loss:2.1637073587044142e-05
01-05-2024 12:05:32 root:INFO:epoch:22, train_loss:1.789534871932119e-05, test_loss:2.574409700173419e-05
01-06-2024 12:06:06 root:INFO:epoch:23, train_loss:1.7670163288130425e-05, test_loss:2.0514504285529256e-05
01-06-2024 12:06:37 root:INFO:epoch:24, train_loss:1.7388685591868125e-05, test_loss:2.579559077275917e-05
01-07-2024 12:07:08 root:INFO:epoch:25, train_loss:1.725358742987737e-05, test_loss:2.7604239221545868e-05
01-07-2024 12:07:41 root:INFO:epoch:26, train_loss:1.6882209820323624e-05, test_loss:2.5828216166701168e-05
