02-02-2024 04:02:10 root:INFO:epoch:0, train_loss:7.358295988524333e-05, test_loss:2.730332562350668e-05
02-06-2024 04:06:11 root:INFO:epoch:1, train_loss:4.7920293582137674e-05, test_loss:2.7012021746486425e-05
02-10-2024 04:10:09 root:INFO:epoch:2, train_loss:4.698964403360151e-05, test_loss:2.6287725631846115e-05
02-14-2024 04:14:20 root:INFO:epoch:3, train_loss:4.661035927711055e-05, test_loss:2.7096861231257208e-05
02-18-2024 04:18:42 root:INFO:epoch:4, train_loss:4.636371886590496e-05, test_loss:2.713557296374347e-05
02-22-2024 04:22:24 root:INFO:epoch:5, train_loss:4.641128907678649e-05, test_loss:2.7047526600654237e-05
02-26-2024 04:26:30 root:INFO:epoch:6, train_loss:4.619649553205818e-05, test_loss:2.6616977265803143e-05
02-34-2024 04:34:43 root:INFO:epoch:7, train_loss:4.62078933196608e-05, test_loss:2.651018621691037e-05
02-44-2024 04:44:05 root:INFO:epoch:8, train_loss:4.611146869137883e-05, test_loss:2.7156154828844592e-05
02-52-2024 04:52:02 root:INFO:epoch:9, train_loss:4.608619929058477e-05, test_loss:2.683143065951299e-05
02-55-2024 04:55:54 root:INFO:epoch:10, train_loss:4.5994882384547964e-05, test_loss:2.814087929436937e-05
02-59-2024 04:59:11 root:INFO:epoch:11, train_loss:4.611070835380815e-05, test_loss:2.751854117377661e-05
02-02-2024 05:02:52 root:INFO:epoch:12, train_loss:4.584595808410086e-05, test_loss:2.731707354541868e-05
02-06-2024 05:06:11 root:INFO:epoch:13, train_loss:4.5931672502774745e-05, test_loss:2.6565114239929244e-05
02-09-2024 05:09:41 root:INFO:epoch:14, train_loss:4.601299951900728e-05, test_loss:2.742600190686062e-05
02-13-2024 05:13:02 root:INFO:epoch:15, train_loss:4.603764318744652e-05, test_loss:2.6610669010551646e-05
02-16-2024 05:16:28 root:INFO:epoch:16, train_loss:4.602018088917248e-05, test_loss:2.660828067746479e-05
02-19-2024 05:19:44 root:INFO:epoch:17, train_loss:4.566834832075983e-05, test_loss:2.6369789338787086e-05
02-23-2024 05:23:06 root:INFO:epoch:18, train_loss:4.6000797738088295e-05, test_loss:2.677205702639185e-05
02-26-2024 05:26:28 root:INFO:epoch:19, train_loss:4.600872489390895e-05, test_loss:2.705649058043491e-05
02-29-2024 05:29:52 root:INFO:epoch:20, train_loss:4.578409789246507e-05, test_loss:2.6060322852572426e-05
02-33-2024 05:33:17 root:INFO:epoch:21, train_loss:4.596974031301215e-05, test_loss:2.6899544536718167e-05
02-36-2024 05:36:38 root:INFO:epoch:22, train_loss:4.577527943183668e-05, test_loss:2.7039379347115755e-05
02-40-2024 05:40:03 root:INFO:epoch:23, train_loss:4.591916149365716e-05, test_loss:2.6550720576778986e-05
02-43-2024 05:43:19 root:INFO:epoch:24, train_loss:4.574132617563009e-05, test_loss:2.7262580260867253e-05
02-46-2024 05:46:50 root:INFO:epoch:25, train_loss:4.5768341806251556e-05, test_loss:2.5533830921631306e-05
02-50-2024 05:50:08 root:INFO:epoch:26, train_loss:4.5713204599451274e-05, test_loss:2.764817327260971e-05
02-53-2024 05:53:39 root:INFO:epoch:27, train_loss:4.552749669528566e-05, test_loss:2.6446132324053906e-05
02-56-2024 05:56:57 root:INFO:epoch:28, train_loss:4.603134220815264e-05, test_loss:3.1748772016726434e-05
02-00-2024 06:00:25 root:INFO:epoch:29, train_loss:4.5924305595690385e-05, test_loss:2.655957723618485e-05
02-03-2024 06:03:48 root:INFO:epoch:30, train_loss:4.5735068852081895e-05, test_loss:2.648112604219932e-05
02-07-2024 06:07:16 root:INFO:epoch:31, train_loss:4.588145384332165e-05, test_loss:2.708825013542082e-05
02-10-2024 06:10:40 root:INFO:epoch:32, train_loss:4.576220453600399e-05, test_loss:2.686917105165776e-05
02-13-2024 06:13:57 root:INFO:epoch:33, train_loss:4.575314960675314e-05, test_loss:2.7257339752395637e-05
02-17-2024 06:17:27 root:INFO:epoch:34, train_loss:4.562164031085558e-05, test_loss:2.7573869374464266e-05
02-20-2024 06:20:44 root:INFO:epoch:35, train_loss:4.580785389407538e-05, test_loss:2.7115531338495202e-05
02-24-2024 06:24:12 root:INFO:epoch:36, train_loss:4.590743264998309e-05, test_loss:2.6480323867872357e-05
02-27-2024 06:27:31 root:INFO:epoch:37, train_loss:4.5750140998279676e-05, test_loss:2.7320471417624503e-05
02-30-2024 06:30:56 root:INFO:epoch:38, train_loss:4.614341742126271e-05, test_loss:2.6935143978334963e-05
02-34-2024 06:34:20 root:INFO:epoch:39, train_loss:4.570342935039662e-05, test_loss:2.588233292044606e-05
02-37-2024 06:37:42 root:INFO:epoch:40, train_loss:4.586709110299125e-05, test_loss:2.6235220502712764e-05
02-41-2024 06:41:10 root:INFO:epoch:41, train_loss:4.5478383981389925e-05, test_loss:2.6104244170710444e-05
02-44-2024 06:44:28 root:INFO:epoch:42, train_loss:4.590334356180392e-05, test_loss:2.678935015865136e-05
02-47-2024 06:47:56 root:INFO:epoch:43, train_loss:4.557618740363978e-05, test_loss:2.6341871489421465e-05
02-51-2024 06:51:16 root:INFO:epoch:44, train_loss:4.555073974188417e-05, test_loss:2.6807687390828505e-05
02-54-2024 06:54:42 root:INFO:epoch:45, train_loss:4.558117871056311e-05, test_loss:2.822524584189523e-05
02-58-2024 06:58:05 root:INFO:epoch:46, train_loss:4.537922723102383e-05, test_loss:2.741580829024315e-05
02-01-2024 07:01:29 root:INFO:epoch:47, train_loss:4.565342533169314e-05, test_loss:2.6090019673574716e-05
02-05-2024 07:05:00 root:INFO:epoch:48, train_loss:4.575983984977938e-05, test_loss:2.7125013730255887e-05
02-08-2024 07:08:16 root:INFO:epoch:49, train_loss:4.563368929666467e-05, test_loss:2.5995830583269708e-05
02-11-2024 07:11:45 root:INFO:epoch:50, train_loss:4.564388655126095e-05, test_loss:2.6584935767459683e-05
02-15-2024 07:15:02 root:INFO:epoch:51, train_loss:4.546863419818692e-05, test_loss:2.7629672331386246e-05
02-18-2024 07:18:42 root:INFO:epoch:52, train_loss:4.577480285661295e-05, test_loss:2.669224159035366e-05
02-22-2024 07:22:25 root:INFO:epoch:53, train_loss:4.549353616312146e-05, test_loss:2.689587745408062e-05
02-26-2024 07:26:35 root:INFO:epoch:54, train_loss:4.5397511712508276e-05, test_loss:2.7634587240754627e-05
02-30-2024 07:30:17 root:INFO:epoch:55, train_loss:4.614144563674927e-05, test_loss:2.748741280811373e-05
02-34-2024 07:34:09 root:INFO:epoch:56, train_loss:4.578144216793589e-05, test_loss:2.738489638431929e-05
02-39-2024 07:39:37 root:INFO:epoch:57, train_loss:4.555110353976488e-05, test_loss:2.758416667347774e-05
02-44-2024 07:44:33 root:INFO:epoch:58, train_loss:4.5869215682614595e-05, test_loss:2.6877074560616165e-05
02-48-2024 07:48:37 root:INFO:epoch:59, train_loss:4.561506648315117e-05, test_loss:2.7186259103473276e-05
